"time","P","S","R","N","E","Ishadow","Ireshadow","Eshadow","Ntotal","idx","country"
2019,317.645833239953,125.434736955653,495.056487141019,134659.928436233,1451.95011251484,58134.1900673291,22719.2764683693,56185.9237299386,137050.015606084,1063,"Argentina"
2019,325.415285636044,111.599326124348,547.735639991237,134595.195876062,1491.81981469788,54478.8672305235,19037.878221058,52178.2714524545,137071.765942511,1065,"Argentina"
2019,294.401520784182,137.559612320179,526.268191727771,134599.92992304,1529.50215933265,66056.5586115267,27726.903283013,63443.7485282987,137087.661407205,1066,"Argentina"
2019,326.400752084156,109.238450452307,419.011922486932,135082.633524362,1161.799696178,46807.4284629259,16696.386036454,44209.9368678904,137099.084345564,1067,"Argentina"
2019,324.603210835651,110.708939858365,419.57925837909,135116.666830245,1106.23727545071,41156.3803536303,14746.3503005404,38982.0094888926,137077.795514769,1068,"Argentina"
2019,304.620081858656,135.659236360383,479.440810528811,134874.873365782,1289.14400059823,54376.825407482,22776.1769618741,51695.948441138,137083.737495128,1069,"Argentina"
2019,283.69708302251,151.488047942104,498.08323289857,134801.343978579,1341.99694768484,59710.1733196132,27474.6680965938,57465.2031673108,137076.609290127,107,"Argentina"
2019,288.694519050975,140.324674764093,510.45819848636,134764.440331506,1370.01401729952,56595.9627678479,24469.5498938601,54389.2120717169,137073.931741107,1070,"Argentina"
2019,315.252155514374,122.180322903252,568.059766406568,134552.046785434,1540.23435574659,60851.093571935,22832.8199011989,58106.0988570157,137097.773386005,1071,"Argentina"
2019,344.316213344008,93.1912413280633,560.41122820619,134544.993740276,1557.67655880164,55203.2698580497,16218.5820482072,52461.5691900646,137100.588981955,1072,"Argentina"
2019,332.656634289215,112.595368005977,589.642892990312,134520.092101552,1564.88790764836,58311.000104884,19652.8648699054,55713.8514332038,137119.874904486,1073,"Argentina"
2019,323.107582227034,118.725247777448,620.322621476461,134280.736908081,1734.71618859838,66221.2927972188,24060.7107315767,63656.73005331,137077.60854816,1074,"Argentina"
2019,305.270927273497,132.702025094285,476.390210045029,134753.571555925,1405.12596627152,60067.0555244828,24712.071266106,57917.0826285833,137073.06068461,1075,"Argentina"
2019,304.757146792084,125.579623784782,436.461749485491,134976.598355706,1238.18418630426,51194.3016237079,20515.3026589769,49582.9785473658,137081.581062073,1076,"Argentina"
2019,291.559765367533,142.404806534616,455.560730634958,134961.157915854,1220.27901908068,51369.6942346932,22657.4885748797,49119.9715110247,137070.962237472,1077,"Argentina"
2019,280.748830207953,154.206910672455,556.603168264691,134580.319251545,1521.32067848447,65303.7667904976,29766.5427383006,62603.569502493,137093.198839175,1078,"Argentina"
2019,300.566586749959,135.57692990145,441.199912644292,135038.936115939,1172.94334828009,49733.7901386528,21075.9396173186,47427.3387989237,137089.222893515,1079,"Argentina"
