"pop","variable","time","scenario","perc_change_from_2021_rate_per100k","rate_per100k","perc_change_from_2021_rate_per100k_lo","rate_per100k_lo","perc_change_from_2021_rate_per100k_hi","rate_per100k_hi"
"Combined","I",2021,"Active 10-year reversion",0,48.8773272522155,0,41.1392883567632,0,59.3146522941279
"Combined","I",2022,"Active 10-year reversion",10.3022556456908,53.5730506854696,3.017366443305,44.0868625673557,18.2013776143085,68.1698501961712
"Combined","I",2023,"Active 10-year reversion",62.047908616603,78.9968956693951,34.4479246355514,59.3340425186256,88.7052699236186,104.985698470273
"Combined","I",2024,"Active 10-year reversion",102.737218395521,100.145792155226,69.1935805917314,75.6865938258263,132.791054589768,122.960528175285
"Combined","I",2025,"Active 10-year reversion",102.22273781849,99.4536184697863,75.757881340846,81.5116508518055,130.825356154512,118.211989285341
"Combined","I",2026,"Active 10-year reversion",81.9765672828874,88.9123013620355,60.1680750110744,74.9477448484228,106.243036046138,107.215358980113
"Combined","I",2027,"Active 10-year reversion",60.6755421130042,78.2273731441436,40.4371679499765,65.0986732138603,82.4290885474108,97.3511731171301
"Combined","I",2028,"Active 10-year reversion",43.0256221451531,69.5850336146918,23.911829724227,56.7587892784336,63.364982785687,89.9103959036901
"Combined","I",2029,"Active 10-year reversion",29.0220968817419,62.8788883188904,11.2661515249139,50.4816048339391,50.2698542335334,83.0418011544644
"Combined","I",2030,"Active 10-year reversion",18.4090927599302,57.7937928776471,1.89226485875581,45.7246760533118,39.4489429861896,77.5185772476519
"Combined","I",2031,"Active 10-year reversion",10.5759165175526,54.0319810069338,-4.99716535443627,42.576222466615,31.0282068562319,72.8376600472196
"Combined","I",2032,"Active 10-year reversion",4.66540755097393,51.1106127053533,-10.2082166572898,40.0604239400812,24.0599736589723,68.9705300393806
"Combined","I",2033,"Active 10-year reversion",0.116724677562776,48.8507073346703,-13.7888246727634,38.3510491990349,18.4327562627227,65.6286487702058
"Combined","I",2034,"Active 10-year reversion",-3.41223663329326,47.0769406270952,-16.493121488317,37.099957316363,13.8370081564855,62.8317544345459
"Combined","I",2035,"Active 10-year reversion",-6.14736845929971,45.7760924243212,-18.557631246164,36.2969511091852,9.87846043793099,60.6861710525685
"Combined","I",2013,"Active 5-year reversion",-11.6793987948728,43.1103585599001,-24.8955666631029,37.7285876919103,-0.75993212714295,49.1873999953448
"Combined","I",2014,"Active 5-year reversion",-2.42816168945531,47.7122151587,-17.2007276489619,42.0881880607561,9.8389331571533,53.6625936738319
"Combined","I",2015,"Active 5-year reversion",8.40193889645271,53.0598052386864,-7.38637079222229,46.8472050942313,22.198940111683,59.3452799236973
"Combined","I",2016,"Active 5-year reversion",21.4203167870266,59.4637706243708,5.49807369855076,52.4250543680379,36.5550584523977,66.8919729202907
"Combined","I",2017,"Active 5-year reversion",33.2427285392767,65.3684835913152,18.1248801661831,57.140442817289,48.6587991233206,74.3434355419127
